model_id,summary_path,N,ols_coef,ols_se,ols_pval,ols_r2,iv_coef,iv_se,iv_pval,iv_fstat,iv_j_pval,hausman_stat,hausman_pval,kink_threshold,kink_sup_wald,kink_pval,kink_ci_lower,kink_ci_upper,mean_pass_low,mean_pass_high,placebo_pval,linear_bic,cubic_bic,piecewise_bic,piecewise_r2,best_functional_form,sensitivity_threshold_range,fprobit_coef,fprobit_se,fprobit_pval,fprobit_marginal_at_mean,cc_loc_pearson,cc_loc_n,pass_delta_high_minus_low
glm_4_7_flash_results,results\stage_d_full_bootstrap_parallel\glm_4_7_flash_results\analysis_summary.json,5000,-0.0031771661584545753,0.0011221585024064225,0.0046359372477963465,0.0012406458350090466,1.932963296860657e-05,0.0005020686972495656,0.9692890503437859,11631.15871200425,0.0,2.1214039534716047,0.14525333978796273,13.75,125.2973814543405,0.0,10.5,14.0,0.7572021011888306,0.8590021691973969,0.0,4789.7017245240595,4659.949630551983,4562.027824363705,0.04894470434724785,piecewise,"[13.75, 13.75]",-0.011373283025007718,0.004616454832797605,0.013753415210894586,-0.003317313225024389,0.7352175524153255,4987,0.10180006800856634
google_gemini-3-flash-preview,results\stage_d_full_bootstrap_parallel\google_gemini-3-flash-preview\analysis_summary.json,5000,-0.0001631974074764685,0.0010338042162550802,0.8745662995861516,3.843905081790666e-06,0.0006075376615433392,0.000500854506667458,0.22512894651013493,12591.831865707012,0.0,40.56751518206812,1.8993828732050133e-10,13.75,87.64938373513998,0.0,7.25,14.0,0.8032623721316008,0.8989154013015183,0.0,3992.5386171548794,3899.4038631498506,3837.1416186120377,0.033902116180734576,piecewise,"[13.75, 13.75]",-0.000671432533936268,0.004851671683815369,0.8899306214922974,-0.000170086991717871,0.9251472131496856,4917,0.09565302916991747
google_gemini-3.1-pro-preview,results\stage_d_full_bootstrap_parallel\google_gemini-3.1-pro-preview\analysis_summary.json,5000,-0.01393966002060016,0.0011935484670144597,1.6287081417870762e-31,0.02320736070605045,-0.002295138120270629,0.0005539868157564006,3.428709242592198e-05,9358.732153897823,0.0,90.78387829512309,0.0,11.25,18.63249586298632,0.0,7.75,14.75,0.8181077250177179,0.7477502295684113,0.0,4821.800858137222,4821.5405508255435,4801.678819547701,0.030439280678696168,piecewise,"[11.25, 11.25]",-0.050671819145774274,0.004779935530851359,2.9499385880679464e-26,-0.014476810456605347,0.9346932567087407,4772,-0.07035749544930658
gpt-4.1,results\stage_d_full_bootstrap_parallel\gpt-4.1\analysis_summary.json,5000,0.0013635700587804349,0.0009795370753220576,0.16390556573777104,0.00029828473584248005,0.0009062711460260942,0.0004547605603328628,0.0462774982286287,8547.43919953255,0.0,2.0780085049879227,0.1494350313400017,11.25,60.35823642745375,0.0,7.75,14.0,0.8282069454287738,0.8766299357208449,0.0,3462.2778407170385,3379.4762394711406,3359.93559128568,0.023883813778524776,piecewise,"[11.25, 11.25]",0.00606935159232334,0.004992640184894912,0.22411457255811185,0.0014189876385066276,0.9211883570957619,4992,0.04842299029207109
gpt-5-mini,results\stage_d_full_bootstrap_parallel\gpt-5-mini\analysis_summary.json,5000,0.0003620784736421173,0.0009162416907975506,0.6927115962493042,2.3648004199516848e-05,4.18014543279166e-05,0.0003872634099320276,0.9140427916422091,6053.744689164154,0.0,0.4540317510305334,0.5004265323984409,10.75,52.03354206614214,0.0,7.25,14.0,0.8521852820321256,0.8840723202755058,0.0,2877.4940701926494,2815.1526483998196,2791.4479509161474,0.020428207676996823,piecewise,"[10.75, 10.75]",0.0017539436715223026,0.0051625238036629014,0.7340482752443187,0.00037691438332121207,0.9307421778830159,4996,0.03188703824338013
gpt-oss-20b,results\stage_d_full_bootstrap_parallel\gpt-oss-20b\analysis_summary.json,5000,-0.0012497382934309493,0.0010256487287678556,0.22303946152386966,0.0002248168862780675,0.0001862286409255176,0.0004924651370262351,0.7053147177660497,9235.52807265691,0.0,5.654499014062112,0.017410647559403802,13.75,81.08779419507921,0.0,7.5,14.0,0.8036494332319601,0.889587852494577,0.0,4004.735320015477,3903.2999277773824,3862.042923554586,0.031658242484331245,piecewise,"[13.75, 13.75]",-0.005114041691721248,0.0048436269216492215,0.29104635375106425,-0.0013063567631767983,0.9120806810249168,4991,0.0859384192626168
ministral-3-14b-reasoning,results\stage_d_full_bootstrap_parallel\ministral-3-14b-reasoning\analysis_summary.json,5000,-0.005352934775814432,0.0010975134238820974,1.0753163798371806e-06,0.003584741533520397,-0.0012721454602652171,0.0005134786608190997,0.013230490833129993,12800.070185914887,0.0,8.854180158430378,0.002924184311974276,14.0,97.99433025016137,0.0,7.5,14.25,0.766837699162841,0.8409406322282188,0.0,4689.2345377143365,4567.415370695252,4513.872908582146,0.04119770731185979,piecewise,"[14.0, 14.0]",-0.019275300640748297,0.00463926842019941,3.2555126138739417e-05,-0.005603116532888972,0.9342109539157736,4992,0.07410293306537785
mistral-small-2412,results\stage_d_full_bootstrap_parallel\mistral-small-2412\analysis_summary.json,5000,-0.002672712305426697,0.0010823060303731275,0.013531684696184957,0.00094168990806065,0.0007609144560340175,0.0005477274527850969,0.16476557096203504,14693.206935958782,0.0,40.10245081859521,2.409864530150685e-10,13.75,101.19701958490555,0.0,7.75,14.0,0.7792645839093172,0.8657266811279826,0.0,4440.796218547349,4326.516709807352,4259.26986991823,0.03983898111416695,piecewise,"[13.75, 13.75]",-0.01007466105143963,0.004705084867172577,0.032255628837712706,-0.0027913812817584012,0.9395333107112043,4991,0.08646209721866538
openai_gpt-5.4,results\stage_d_full_bootstrap_parallel\openai_gpt-5.4\analysis_summary.json,5000,0.0005529299952421485,0.0009508685534619635,0.5609035668431839,5.044416447641531e-05,0.0004110890600070305,0.0004251267508590132,0.33355403838655207,8054.98606803986,0.0,0.9963470763502766,0.31819602581067896,7.75,69.90062453383236,0.0,7.25,14.0,0.8740482573726541,0.8425518341307814,0.0,3323.122705850515,3228.8326556469992,3202.165713412741,0.02726999377922068,piecewise,"[7.75, 7.75]",0.0025294156276400416,0.005039972792772342,0.6157583436649439,0.0005783425328625024,0.9305715620394869,4995,-0.03149642324187274
qwen3.5-9b,results\stage_d_full_bootstrap_parallel\qwen3.5-9b\analysis_summary.json,5000,-0.0024344910840346907,0.00115460882181764,0.03498788375354953,0.0007232995620618521,-0.0010422708560828553,0.0005118055231923948,0.04170430726170005,9160.757704145966,0.0,5.525345032987448,0.018742906204994525,14.0,97.3836228298102,0.0,13.75,14.0,0.753173102889549,0.8454895913646877,0.0,4827.591244597229,4747.340805534673,4653.40600336952,0.03821802074395986,piecewise,"[14.0, 14.0]",-0.008435743871934206,0.004572914876145819,0.06507839641831543,-0.0025154033445275357,0.8573220884557882,4996,0.09231648847513874
qwen_qwen3.6-plus,results\stage_d_full_bootstrap_parallel\qwen_qwen3.6-plus\analysis_summary.json,5000,0.0010988635054888318,0.000994980427164311,0.2694165572801086,0.00018032713217253082,0.0007319279891147279,0.00043026264703887413,0.08892063278260243,9671.297061163268,0.0,1.7846401545033548,0.18158057295479235,7.75,85.13244219343136,0.0,7.49375,13.75,0.8587667560321716,0.8211483253588517,0.0,3820.949009881118,3701.526113319139,3670.421517975262,0.03313144071580265,piecewise,"[7.75, 7.75]",0.0046323289157583596,0.0048836865219235555,0.34285910980886203,0.0011488597696045885,0.8718554652331322,4986,-0.037618430673319825
